x,y
0.000000000000000000e+00,0.000000000000000000e+00
1.732050807570340112e+03,1.732050807569175959e+03
0.000000000000000000e+00,1.732050807569175959e+03
1.732050807570340112e+03,0.000000000000000000e+00
8.572776724337600172e+02,8.572776724332943559e+02
8.747731351365800947e+02,1.714555344866588712e+03
1.714555344867636450e+03,8.747731351358816028e+02
8.747731351365800947e+02,0.000000000000000000e+00
0.000000000000000000e+00,8.747731351358816028e+02
